run_id,started_at,command,resume,dry_run,skip_status,ok_rows,error_rows,skipped_rows,log_csv,log_html,profile
10-00-57,2025-12-10T10:00:57,autofill,False,False,False,0,0,5,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_10-00-57.csv,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_10-00-57.html,
10-28-48,2025-12-10T10:28:48,autofill,False,False,False,0,1,0,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_10-28-48.csv,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_10-28-48.html,
10-33-49,2025-12-10T10:33:49,autofill,False,False,False,0,1,0,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_10-33-49.csv,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_10-33-49.html,
10-34-48,2025-12-10T10:34:48,autofill,False,False,False,0,1,0,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_10-34-48.csv,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_10-34-48.html,
10-35-59,2025-12-10T10:35:59,autofill,False,False,False,0,1,0,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_10-35-59.csv,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_10-35-59.html,
10-37-29,2025-12-10T10:37:29,autofill,False,False,False,0,0,4,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_10-37-29.csv,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_10-37-29.html,
10-38-47,2025-12-10T10:38:47,autofill,False,False,False,0,1,1,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_10-38-47.csv,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_10-38-47.html,
15-16-36,2025-12-10T15:16:36,autofill,False,False,False,9,1,6,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_15-16-36.csv,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_15-16-36.html,
15-36-48,2025-12-10T15:36:48,autofill,False,False,False,10,0,1,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_15-36-48.csv,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_15-36-48.html,
15-44-16,2025-12-10T15:44:16,autofill,False,False,False,0,1,1,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_15-44-16.csv,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_15-44-16.html,
15-53-37,2025-12-10T15:53:37,autofill,False,False,False,0,1,1,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_15-53-37.csv,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_15-53-37.html,
15-57-16,2025-12-10T15:57:16,autofill,False,False,False,2,1,0,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_15-57-16.csv,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_15-57-16.html,
16-04-55,2025-12-10T16:04:55,autofill,False,False,False,0,1,0,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_16-04-55.csv,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_16-04-55.html,
16-06-51,2025-12-10T16:06:51,autofill,False,False,False,0,1,0,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_16-06-51.csv,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_16-06-51.html,
16-11-55,2025-12-10T16:11:55,autofill,False,False,False,4,0,5,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_16-11-55.csv,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_16-11-55.html,
16-19-20,2025-12-10T16:19:20,autofill,False,False,False,10,0,1,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_16-19-20.csv,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_16-19-20.html,
16-26-05,2025-12-10T16:26:05,autofill,False,False,False,10,0,1,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_16-26-05.csv,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_16-26-05.html,
16-34-13,2025-12-10T16:34:13,autofill,False,False,False,10,0,1,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_16-34-13.csv,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_16-34-13.html,
16-41-29,2025-12-10T16:41:29,autofill,False,False,False,10,0,1,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_16-41-29.csv,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_16-41-29.html,
16-50-28,2025-12-10T16:50:28,autofill,False,False,False,10,0,1,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_16-50-28.csv,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_16-50-28.html,
16-56-39,2025-12-10T16:56:39,autofill,False,False,False,9,0,2,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_16-56-39.csv,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_16-56-39.html,
17-04-12,2025-12-10T17:04:12,autofill,False,False,False,9,0,1,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_17-04-12.csv,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\logs\2025-12-10\log_sbr_autofill_17-04-12.html,
